T0,alpha,mean_fitness,std_fitness,mean_runtime,norm_fitness,norm_std,norm_runtime,mcdm_score,rank
10.0,0.97,1121.1906832824,331.7487354354529,1.6259437998756767,0.0,1.0,0.18307446106752112,0.23661489221350424,1
2.0,0.97,1183.1451122376313,210.30961820017345,1.6415428600274027,0.35437144019501493,0.0,0.3680418721708795,0.2862312385511849,2
10.0,0.99,1181.8440817064304,274.2144605386558,1.6120711600407958,0.3469297113169631,0.5262294703169771,0.018578251009421,0.31711937105545746,3
5.0,0.99,1177.7997821499307,274.97955786308574,1.6186293800361455,0.3237968331259222,0.5325297246489284,0.09634299851261649,0.32005264450786236,4
5.0,0.95,1181.7857236060531,308.5612957346114,1.6477932800538837,0.3465959104180364,0.8090611968471616,0.4421568508530317,0.4582011557908605,5
2.0,0.95,1204.3824565851278,248.7595506975257,1.6921558598987758,0.4758463440760278,0.3166190052490114,0.9681905646769897,0.5424697204308169,6
5.0,0.97,1242.3998539666698,280.3848310871195,1.6181230599060654,0.6933010134152991,0.5770398738256671,0.0903392570859208,0.549456434231497,7
10.0,0.95,1296.0197522421815,311.3313227834573,1.6105043799616396,1.0,0.8318712033089115,0.0,0.7663742406617823,8
2.0,0.99,1249.7639979951923,286.67519684621976,1.694838479999453,0.7354229790148337,0.628838387371456,1.0,0.7670214648831915,9
